Year,state_name,state_cd,Population,IncarcerationRate,Inmates,state_id
1986,West Virginia,WV,1882350,78.2,1472,54
1986,Wisconsin,WI,4755618,120.22,5717,55
1986,Wyoming,WY,495633,173.72,861,56
1987,Alabama,AL,4015264,313.85,12602,1
1987,Alaska,AK,539309,327.64,1767,2
1987,Arizona,AZ,3437103,307.18,10558,4
1987,Arkansas,AR,2342355,232.29,5441,5
1987,California,CA,27777158,233.33,64812,6
1987,Colorado,CO,3260480,147.46,4808,8
1987,Connecticut,CT,3247291,142.8,4637,9
1987,Delaware,DE,636947,338.96,2159,10
1987,Federal,FD,242288918,16.23,39323,57
1987,Florida,FL,11997283,269.73,32360,12
1987,Georgia,GA,6208467,285.48,17724,13
1987,Hawaii,HI,1067918,143.46,1532,15
1987,Idaho,ID,984997,145.68,1435,16
1987,Illinois,IL,11391178,174.26,19850,17
1987,Indiana,IN,5473012,194.3,10634,18
1987,Iowa,IA,2767011,103.04,2851,19
1987,Kansas,KS,2445367,236.4,5781,20
1987,Kentucky,KY,3683329,174.76,6437,21
1987,Louisiana,LA,4344148,353.93,15375,22
1987,Maine,ME,1184574,104.51,1238,23
1987,Maryland,MD,4565557,282.81,12912,24
1987,Massachusetts,MA,5935204,100.62,5972,25
1987,Michigan,MI,9187481,259.91,23879,26
1987,Minnesota,MN,4235136,60.12,2546,27
1987,Mississippi,MS,2588545,259.57,6719,28
1987,Missouri,MO,5056696,224.59,11357,29
1987,Montana,MT,805063,149.93,1207,30
1987,Nebraska,NE,1566547,125.31,1963,31
1987,Nevada,NV,1023376,433.25,4434,32
1987,New Hampshire,NH,1054289,82.24,867,33
1987,New Jersey,NJ,7670742,208.18,15969,34
1987,New Mexico,NM,1478520,174.91,2586,35
1987,New York,NY,17868848,228.57,40843,36
1987,North Carolina,NC,6403700,251.7,16118,37
1987,North Dakota,ND,661136,57.47,380,38
1987,Ohio,OH,10760090,225.28,24240,39
1987,Oklahoma,OK,3210122,300.27,9639,40
1987,Oregon,OR,2700991,202.04,5457,41
1987,Pennsylvania,PA,11810866,137.55,16246,42
1987,Rhode Island,RI,989604,100.14,991,44
1987,South Carolina,SC,3380506,350.89,11862,45
1987,South Dakota,SD,696036,162.78,1133,46
1987,Tennessee,TN,4782927,159.71,7639,47
1987,Texas,TX,16621791,233.56,38822,48
1987,United States,US,242288918,230.35,558113,0
1987,Utah,UT,1678119,109.47,1837,49
1987,Vermont,VT,540267,93.47,505,50
1987,Virginia,VA,5932268,217.98,12931,51
1987,Washington,WA,4531901,135.29,6131,53
1987,West Virginia,WV,1857585,78,1449,54
1987,Wisconsin,WI,4777919,128.21,6126,55
1987,Wyoming,WY,476965,192.05,916,56
1988,Alabama,AL,4023844,307.09,12357,1
1988,Alaska,AK,541983,343.56,1862,2
1988,Arizona,AZ,3535183,327.51,11578,4
1988,Arkansas,AR,2342656,235.59,5519,5
1988,California,CA,28464249,259.2,73779,6
1988,Colorado,CO,3262281,176.72,5765,8
1988,Connecticut,CT,3271953,144.35,4723,9
1988,Delaware,DE,647622,340.81,2207,10
1988,Federal,FD,244498982,17.39,42518,57
1988,Florida,FL,12306395,281.81,34681,12
1988,Georgia,GA,6316142,285.27,18018,13
1988,Hawaii,HI,1079828,139.84,1510,15
1988,Idaho,ID,985664,160.4,1581,16
1988,Illinois,IL,11390183,185.08,21081,17
1988,Indiana,IN,5491735,205.23,11271,18
1988,Iowa,IA,2768388,109.59,3034,19
1988,Kansas,KS,2461996,236.27,5817,20
1988,Kentucky,KY,3679999,193.45,7119,21
1988,Louisiana,LA,4288863,378.7,16242,22
1988,Maine,ME,1203840,100.84,1214,23
1988,Maryland,MD,4657904,291.37,13572,24
1988,Massachusetts,MA,5979982,107.94,6455,25
1988,Michigan,MI,9217998,299.54,27612,26
1988,Minnesota,MN,4296166,65.15,2799,27
1988,Mississippi,MS,2580352,281.01,7251,28
1988,Missouri,MO,5081736,239.6,12176,29
1988,Montana,MT,800202,158.96,1272,30
1988,Nebraska,NE,1571477,131.47,2066,31
1988,Nevada,NV,1075022,454.04,4881,32
1988,New Hampshire,NH,1082577,94.13,1019,33
1988,New Jersey,NJ,7712333,219.6,16936,34
1988,New Mexico,NM,1490337,182.71,2723,35
1988,New York,NY,17941309,248.36,44559,36
1988,North Carolina,NC,6480594,250.76,16251,37
1988,North Dakota,ND,655331,63.18,414,38
1988,Ohio,OH,10798552,245.05,26462,39
1988,Oklahoma,OK,3167057,329.9,10448,40
1988,Oregon,OR,2741297,218.55,5991,41
1988,Pennsylvania,PA,11845752,150.97,17884,42
1988,Rhode Island,RI,996408,118.32,1179,44
1988,South Carolina,SC,3412096,378.12,12902,45
1988,South Dakota,SD,698165,146.1,1020,46
1988,Tennessee,TN,4822437,160.33,7732,47
1988,Texas,TX,16667022,242.62,40438,48
1988,United States,US,244498982,245.71,600758,0
1988,Utah,UT,1689372,115.07,1944,49
1988,Vermont,VT,549763,100.59,553,50
1988,Virginia,VA,6036909,230.71,13928,51
1988,Washington,WA,4639893,125.35,5816,53
1988,West Virginia,WV,1830215,79.5,1455,54
1988,Wisconsin,WI,4822388,131.16,6325,55
1988,Wyoming,WY,465101,203.18,945,56
1989,Alabama,AL,4030222,336.83,13575,1
1989,Alaska,AK,547159,348.72,1908,2
1989,Arizona,AZ,3622185,351.34,12726,4
1989,Arkansas,AR,2346358,278.98,6546,5
1989,California,CA,29218164,288.65,84338,6
